STEP;C11;DOX;NP;OCB;OCC;OCD;OCN;ONC;TOTAL
0;4514.06298828125;54682.5390625;1.6473305225372314;3527.50244140625;1771.5845947265625;2557.1328125;2300.65087890625;15028.396484375;84384.359375
1;4391.1630859375;54530.55859375;0.2353329360485077;3539.18505859375;1716.174560546875;2772.6162109375;2613.344970703125;14879.7880859375;84443.5390625
2;4299.2705078125;53426.53515625;0.2353329360485077;3468.453369140625;1582.144775390625;2407.015625;2654.0078125;14151.5078125;81989.78125
3;4482.4189453125;53965.0078125;0.0;3300.718505859375;1710.4930419921875;2337.605712890625;2483.44287109375;14632.4541015625;82912.6640625
4;4164.01220703125;53483.12890625;1.4119975566864014;3478.607666015625;1719.2254638671875;2274.24169921875;2421.123046875;14988.74609375;82531.0390625
5;4275.72314453125;53821.6484375;0.2353329360485077;3420.93701171875;1537.7535400390625;2288.98828125;2636.999755859375;14693.9267578125;82676.7421875
6;4306.66357421875;53893.41796875;0.9413317441940308;3318.6240234375;1500.2413330078125;2146.708251953125;2637.691650390625;15058.30078125;82863.0546875
7;4333.19091796875;53251.6328125;0.0;3242.39501953125;1481.4482421875;2351.5302734375;2643.826171875;14660.2041015625;81964.75
8;4191.11328125;53711.5703125;1.1766645908355713;3430.767333984375;1456.380126953125;2162.223876953125;2728.267578125;14915.125;82597.3671875
9;4070.7705078125;52863.9765625;0.2353329360485077;3341.94482421875;1409.8004150390625;2262.8544921875;2671.79541015625;14991.861328125;81613.6171875
10;4166.69677734375;52986.75390625;0.7059987783432007;3482.347900390625;1484.8309326171875;2245.817626953125;2492.05419921875;14397.439453125;81256.953125
11;4171.88232421875;52863.01953125;0.7059987783432007;3052.59912109375;1532.9537353515625;2201.160400390625;2570.72021484375;14895.990234375;81289.671875
12;4590.419921875;52489.6328125;0.0;3249.739501953125;1628.541259765625;2387.485107421875;2589.559326171875;14953.912109375;81889.8515625
13;4201.6357421875;52976.41015625;0.0;3286.98583984375;1753.15185546875;2246.079345703125;2668.30615234375;14506.033203125;81639.0703125
14;4104.28515625;52601.21875;0.0;3272.857666015625;1559.6927490234375;2083.75439453125;2764.292724609375;14689.3994140625;81075.5859375
15;3867.865234375;51260.0;0.4706658720970154;3192.587646484375;1554.9830322265625;2148.94091796875;2680.52001953125;14699.7138671875;79405.2265625
16;4243.7080078125;52059.71875;0.0;3505.697265625;1560.8612060546875;2243.03369140625;2358.843017578125;14840.72265625;80812.9921875
17;3906.32177734375;51798.4296875;1.4119975566864014;3032.465087890625;1473.0086669921875;2136.7421875;2472.1611328125;14840.4453125;79661.2421875
18;3541.105712890625;51626.015625;0.0;2995.383056640625;1414.2738037109375;2080.879638671875;2345.65673828125;14641.2421875;78644.6875
19;4085.883056640625;51602.9609375;0.2353329360485077;3047.672607421875;1494.6005859375;2058.576416015625;2391.65380859375;15353.5888671875;80035.375
20;3871.892822265625;51552.75;0.2353329360485077;3136.392333984375;1431.5947265625;2073.68603515625;2752.102294921875;15146.115234375;79965.296875
21;3807.00439453125;51508.0390625;0.0;3137.7431640625;1343.2408447265625;2054.673095703125;2643.959228515625;14940.96484375;79436.0234375
22;3939.586181640625;52137.33984375;0.0;3355.369873046875;1403.0308837890625;2022.652099609375;2284.479736328125;15157.6865234375;80300.6171875
23;3738.879638671875;52063.484375;0.0;3206.716064453125;1379.843994140625;2095.70361328125;2740.355224609375;14548.8974609375;79774.359375
24;3786.73876953125;51392.5;0.0;3161.894775390625;1482.2220458984375;2042.095458984375;2675.77783203125;15220.87109375;79762.59375
25;3733.01318359375;51466.73828125;0.0;3150.55224609375;1393.5482177734375;2228.895751953125;2348.881591796875;14794.1103515625;79116.1953125
26;3919.558837890625;51805.73828125;0.0;3018.040283203125;1505.07421875;2453.89013671875;2381.546142578125;14770.642578125;79855.1796875
27;3649.374755859375;51216.12890625;0.0;3109.69140625;1550.9036865234375;2292.66552734375;2472.09521484375;14895.0859375;79186.390625
28;3920.59130859375;51441.38671875;0.9413317441940308;3094.84423828125;1461.4039306640625;2222.72900390625;2304.050537109375;15069.876953125;79516.0859375
29;3819.208740234375;51532.83203125;0.0;3150.822998046875;1549.44580078125;2299.554931640625;2486.0859375;14813.6416015625;79652.1171875
30;3561.1015625;51135.08203125;0.0;3255.3369140625;1369.476806640625;2324.013427734375;2629.554931640625;14613.8427734375;78888.7421875
31;3509.69140625;50954.640625;0.2353329360485077;3376.923828125;1634.3568115234375;2404.19580078125;2393.442626953125;14428.544921875;78702.4765625
32;3659.965576171875;51002.703125;0.2353329360485077;3415.37841796875;1631.458984375;2395.527587890625;2498.326171875;14833.9326171875;79437.8125
33;3814.95654296875;51466.5546875;0.0;3158.283447265625;1557.78515625;2312.35693359375;2483.386962890625;14690.888671875;79484.6171875
34;3264.294189453125;50597.55859375;2.1179964542388916;3338.195068359375;1362.9117431640625;2130.777587890625;2430.905029296875;14657.9521484375;77784.8125
35;3668.45263671875;50423.47265625;0.9413317441940308;3003.105712890625;1347.2476806640625;2065.440673828125;2480.158447265625;15415.3544921875;78404.4609375
36;3736.6826171875;51291.203125;2.1179964542388916;3264.97265625;1500.1688232421875;2206.32763671875;2362.053955078125;15325.95703125;79689.828125
37;3822.923095703125;51081.65625;0.0;3007.34423828125;1485.250244140625;2102.5537109375;2344.280029296875;15201.3486328125;79045.8984375
38;3592.698974609375;49941.43359375;0.0;3059.470458984375;1556.4078369140625;2048.768310546875;2396.24072265625;14505.8701171875;77101.2578125
39;3782.08740234375;49723.3125;0.0;3224.918212890625;1456.7908935546875;1994.0113525390625;2415.680419921875;15175.9931640625;77773.0390625
40;3340.16943359375;49776.80859375;0.0;2829.195068359375;1388.4144287109375;1957.9649658203125;2517.0654296875;14559.1181640625;76369.0078125
41;3512.0263671875;50612.54296875;0.0;3133.711669921875;1361.7918701171875;2011.0814208984375;2333.147705078125;14416.1796875;77380.7734375
42;3333.255859375;50044.79296875;0.0;3012.495361328125;1333.304443359375;1851.3260498046875;2252.911865234375;14721.998046875;76550.03125
43;3251.960205078125;50468.96875;0.0;2841.185546875;1311.1663818359375;1996.7799072265625;2271.578369140625;14502.951171875;76644.796875
44;2955.7275390625;50020.2421875;0.0;2822.0517578125;1221.556884765625;1993.6602783203125;2483.533203125;14171.3125;75668.1015625
45;3229.661865234375;50273.9296875;0.0;2948.779541015625;1295.6207275390625;2211.198974609375;2586.693115234375;14489.4482421875;77035.4140625
46;3007.2900390625;49813.48046875;0.0;2625.74365234375;1381.0701904296875;2067.306396484375;2326.88720703125;14716.787109375;75938.90625
47;3046.169677734375;49905.58984375;0.0;2635.066650390625;1247.1707763671875;2073.361083984375;2502.498046875;14350.1806640625;75760.109375
48;3082.215087890625;49186.75390625;0.0;2680.21533203125;1079.0357666015625;1945.652099609375;2144.423828125;14447.365234375;74565.640625
49;3018.406982421875;49840.203125;0.0;2769.755615234375;1290.326416015625;2047.1317138671875;2193.442138671875;14765.4814453125;75925.0625
50;3153.19775390625;49131.5859375;0.0;2685.21826171875;1177.8880615234375;1967.534912109375;2333.26416015625;14775.75390625;75224.4296875
51;2974.838134765625;49155.38671875;0.2353329360485077;2656.5439453125;1481.2725830078125;1975.0360107421875;2419.4765625;14416.3173828125;75079.2265625
52;3006.513916015625;49330.70703125;0.0;2566.678466796875;1229.902587890625;1971.507080078125;2335.367919921875;14660.4150390625;75101.1953125
53;3130.853759765625;49837.4609375;0.0;2597.946533203125;1188.8212890625;2002.3577880859375;2002.36865234375;14381.439453125;75141.46875
54;3107.051025390625;49395.93359375;0.0;2601.36865234375;1254.2855224609375;2052.356201171875;2398.341796875;14487.021484375;75296.59375
55;3461.106201171875;49691.6171875;0.0;2555.6083984375;1190.0572509765625;2047.3505859375;2462.99658203125;15235.728515625;76644.6484375
56;3284.510009765625;49813.2265625;0.4706658720970154;2606.619140625;1274.9083251953125;2035.1343994140625;2300.663818359375;15063.1455078125;76378.8984375
57;3005.511962890625;49894.390625;0.0;2643.943603515625;1229.533203125;1946.9053955078125;2537.28125;15008.703125;76266.109375
58;3018.871826171875;49479.45703125;0.0;2400.360595703125;1211.51513671875;2040.4566650390625;2418.54150390625;15122.0380859375;75691.3203125
59;3255.426025390625;49855.6328125;0.0;2606.8896484375;1220.0518798828125;1837.3291015625;2182.07568359375;14509.34375;75466.7265625
60;3155.585693359375;49671.2734375;0.0;2827.107421875;1255.8599853515625;2036.50439453125;2231.2294921875;14818.6796875;75996.3125
61;3007.644775390625;49323.95703125;0.0;2677.2587890625;1266.9842529296875;1971.6466064453125;2263.99853515625;14460.9521484375;74972.59375
62;3031.666259765625;49672.328125;0.0;2486.411376953125;1160.985107421875;1807.2742919921875;2253.467041015625;14590.44140625;75002.5859375
63;2864.044921875;49531.3515625;0.0;2407.150634765625;1256.82080078125;1830.165283203125;2205.208740234375;14497.8466796875;74592.515625
64;3513.857177734375;49399.43359375;0.0;2663.813720703125;1329.666015625;2062.42236328125;2364.404296875;15257.2412109375;76591.203125
65;3635.861083984375;49270.43359375;0.0;2796.481689453125;1209.465087890625;1898.345458984375;2238.4326171875;14631.4501953125;75680.5859375
66;3450.031494140625;48986.44140625;0.0;2758.72998046875;1350.6756591796875;1706.1976318359375;2310.549560546875;15016.15234375;75578.75
67;3234.64990234375;48758.87109375;0.0;2583.311279296875;1272.4041748046875;1850.0316162109375;2342.111572265625;14230.826171875;74272.1953125
68;3221.5634765625;48418.8125;0.0;2822.857177734375;1115.46826171875;1958.208740234375;2111.488525390625;14140.11328125;73788.5703125
69;3202.572265625;49171.20703125;0.0;2680.092529296875;1171.5330810546875;1909.9459228515625;2292.32373046875;14805.4072265625;75233.203125
70;3125.30126953125;49488.5390625;0.0;2564.412841796875;1200.8660888671875;1929.9625244140625;1964.1859130859375;14516.826171875;74790.015625
71;3287.389404296875;48919.16796875;0.0;2851.454833984375;1299.6551513671875;2059.425537109375;2488.974365234375;14064.48046875;74970.78125
72;3424.85888671875;49225.90234375;0.0;2752.4580078125;1275.94189453125;2103.11865234375;2365.4580078125;14085.0595703125;75232.734375
73;3167.716552734375;49218.9765625;0.0;2797.31103515625;1380.2557373046875;1961.7840576171875;2279.447021484375;14825.9248046875;75631.5625
74;3084.787109375;49130.6640625;0.0;2664.6015625;1224.5009765625;1926.56103515625;2095.822998046875;14050.9931640625;74177.9609375
75;3133.29541015625;48976.4921875;0.0;2483.58203125;1360.6839599609375;2079.88232421875;2246.284912109375;14201.3681640625;74481.6796875
76;3160.669189453125;48035.4609375;0.0;2511.440185546875;1164.1510009765625;2226.71826171875;2360.16064453125;14002.490234375;73461.2890625
77;3497.012451171875;49089.59375;0.4706658720970154;2381.724853515625;1213.089599609375;2226.295166015625;2273.469482421875;14226.0498046875;74907.546875
78;3152.4775390625;49556.1484375;0.0;2494.74072265625;1073.6434326171875;2086.09375;2289.802001953125;14892.9169921875;75545.8515625
79;3232.0673828125;48949.4296875;0.0;2519.477783203125;1142.7000732421875;2100.834716796875;2208.695556640625;14715.5966796875;74868.9921875
80;3353.184814453125;49153.609375;0.0;2611.46728515625;1335.5301513671875;2048.640380859375;2479.41259765625;14542.26171875;75524.0859375
81;3345.90576171875;48471.79296875;0.0;2656.9365234375;1209.9210205078125;2109.353759765625;2143.354248046875;14691.9716796875;74629.296875
82;3206.696044921875;49195.15625;0.0;2751.34765625;1351.144775390625;2012.0018310546875;2367.84130859375;14590.8974609375;75475.09375
83;3346.89453125;49008.640625;0.0;2584.02734375;1385.7293701171875;2192.580322265625;2368.14794921875;14857.09375;75743.2421875
84;3523.006591796875;48682.66796875;0.0;2970.53125;1221.1295166015625;1998.9324951171875;2300.567626953125;14678.712890625;75375.53125
85;3200.047607421875;48536.46484375;0.0;2529.43701171875;1126.0394287109375;1977.916748046875;2192.880615234375;14964.033203125;74526.9296875
86;3450.709228515625;48066.33203125;0.9413317441940308;2629.439697265625;1252.79345703125;2008.292724609375;2119.522705078125;14882.8720703125;74410.921875
87;3273.70263671875;48107.0703125;1.1766647100448608;2590.04736328125;1099.2327880859375;2026.754150390625;2214.6513671875;14936.333984375;74248.9296875
88;3044.365234375;47556.859375;0.7059987783432007;2232.306884765625;1129.5843505859375;2171.3662109375;2155.1064453125;14913.32421875;73203.546875
89;3093.140869140625;47613.06640625;0.0;2487.240478515625;1125.27783203125;2107.036865234375;2215.056640625;14366.162109375;73006.8984375
90;3227.222900390625;47805.046875;0.9413317441940308;2364.974853515625;1250.76123046875;1976.881591796875;2356.49365234375;14869.587890625;73851.84375
91;3130.9462890625;47740.4921875;0.4706658720970154;2574.26025390625;1258.9140625;2108.019775390625;2291.458984375;13920.0400390625;73024.6875
92;3140.594482421875;46958.66796875;0.0;2284.47607421875;1247.6485595703125;1878.517578125;2288.143310546875;13996.587890625;71794.5
93;2970.480224609375;47743.98046875;0.0;2393.15966796875;1064.9034423828125;1967.9686279296875;2397.207763671875;14251.533203125;72789.09375
94;3079.217529296875;46844.4921875;0.4706658720970154;2481.35107421875;1113.794677734375;1894.624755859375;2163.272705078125;14627.126953125;72204.1796875
95;2982.702880859375;47084.30078125;0.0;2518.6083984375;1061.616455078125;1904.989990234375;2136.841796875;14614.1455078125;72303.28125
96;2888.653564453125;47827.04296875;0.0;2516.230224609375;1210.9222412109375;2094.192626953125;2181.767822265625;14132.00390625;72850.640625
97;2909.793212890625;47342.4296875;0.0;2258.913330078125;1289.9456787109375;2038.1553955078125;2269.684326171875;14182.5;72291.3828125
98;3285.84521484375;47574.30859375;0.4706658720970154;2502.291015625;1286.265869140625;1989.8765869140625;2206.451416015625;14612.9130859375;73458.5390625
99;3064.074462890625;46748.4296875;0.0;2272.1572265625;1300.2503662109375;1971.677490234375;2408.174072265625;14822.0302734375;72586.7109375
100;3092.317626953125;47165.83984375;0.0;2415.335693359375;1280.01904296875;2281.29541015625;2118.322021484375;14546.5400390625;72899.625
101;3119.872802734375;47036.5;0.0;2292.27880859375;1369.98291015625;2232.5546875;2131.584716796875;14217.9931640625;72400.71875
102;2984.43994140625;47350.0234375;0.7059987783432007;2606.50732421875;1292.328857421875;1946.3634033203125;2239.667236328125;14524.7060546875;72944.71875
103;2786.848876953125;46501.02734375;1.1766647100448608;2170.5302734375;1204.0615234375;1977.0328369140625;2153.204833984375;14951.0693359375;71744.8359375
104;2908.9482421875;46952.23828125;0.0;2495.23193359375;1215.9632568359375;1974.288818359375;2363.28955078125;14942.5380859375;72852.3359375
105;2801.56689453125;47321.76953125;0.0;2243.24853515625;1179.130126953125;1969.9609375;2418.3330078125;14925.134765625;72859.1171875
106;2843.7119140625;46997.94140625;0.0;2469.06396484375;1151.5419921875;1903.8321533203125;2045.8248291015625;14663.3125;72075.0625
107;2916.42724609375;47052.82421875;0.0;2464.109619140625;1119.6962890625;1799.5521240234375;2385.147705078125;14275.6279296875;72013.2578125
108;2560.512451171875;46055.21484375;0.0;2428.753173828125;1197.51318359375;1830.100830078125;2243.47509765625;14443.0556640625;70758.234375
109;2577.125732421875;46784.05859375;0.0;2238.358154296875;1260.8431396484375;2114.185302734375;2076.786865234375;14318.67578125;71370.078125
110;2860.046875;46870.70703125;0.0;2379.590576171875;1284.9249267578125;2053.318115234375;2241.309326171875;14137.669921875;71827.5390625
111;2826.486572265625;45998.8046875;0.0;2418.6884765625;1381.2200927734375;1860.71630859375;2177.45849609375;14801.6357421875;71464.6328125
112;2800.66845703125;46965.78125;0.0;2453.43310546875;1317.8963623046875;1905.552490234375;2072.1923828125;14528.197265625;72043.4453125
113;2463.519287109375;46246.9453125;0.0;2366.055908203125;1407.219970703125;1908.208251953125;2012.6121826171875;14915.2392578125;71319.6796875
114;2664.939453125;46204.4921875;0.0;2687.6611328125;1263.0548095703125;1782.726806640625;2156.323974609375;15564.2392578125;72323.3125
115;2751.01318359375;46920.390625;0.0;2499.88525390625;1432.68115234375;1990.6251220703125;2191.196044921875;15782.6025390625;73568.4453125
116;2636.74951171875;46859.16796875;0.0;2379.598388671875;1368.431396484375;1918.0389404296875;2135.103515625;14532.3330078125;71829.328125
117;2776.5771484375;47332.2890625;0.0;2659.896728515625;1351.8226318359375;1980.1343994140625;2147.783203125;14966.5869140625;73215.0625
118;2914.43994140625;46738.76953125;2.8239951133728027;2563.9111328125;1387.455078125;1901.0946044921875;2290.2353515625;14755.1064453125;72553.8984375
119;2780.856201171875;46698.84765625;4.941991806030273;2539.857177734375;1465.710693359375;1981.01220703125;2361.816650390625;15070.2900390625;72903.2890625
120;2603.609619140625;46690.43359375;3.765326976776123;2550.81494140625;1450.8665771484375;1889.343017578125;2090.51953125;14790.751953125;72069.671875
121;2619.166748046875;47016.1328125;1.6473305225372314;2557.361328125;1403.00244140625;1853.0223388671875;2021.6705322265625;14683.6396484375;72155.6328125
122;2984.81103515625;46838.2265625;0.0;2359.680908203125;1307.924072265625;1888.09375;2088.70556640625;14618.4931640625;72085.71875
123;2834.99755859375;46880.85546875;0.0;2535.470947265625;1383.1351318359375;1881.3076171875;2324.621826171875;14573.7958984375;72414.0390625
124;2771.738037109375;47357.59765625;0.0;2412.65869140625;1389.9619140625;1891.563720703125;2171.755859375;14691.296875;72686.515625
125;2780.1552734375;47018.203125;0.0;2741.445068359375;1380.779052734375;2030.796142578125;2541.709716796875;15320.3720703125;73813.375
126;2754.906982421875;46744.4296875;0.0;2391.01513671875;1231.427001953125;1785.851806640625;2220.057373046875;14926.1357421875;72053.7109375
127;2914.510498046875;46671.140625;0.0;2620.97216796875;1348.0281982421875;1800.1727294921875;2371.969482421875;15614.794921875;73341.5546875
128;2572.37109375;46090.26953125;0.0;2500.98876953125;1289.9722900390625;1730.4420166015625;2427.572509765625;14917.203125;71528.453125
129;2522.974853515625;46052.5390625;0.2353329360485077;2462.5634765625;1275.568603515625;1685.7298583984375;2229.45556640625;14997.09375;71226.09375
130;2637.83544921875;45470.8828125;0.0;2624.541015625;1377.9847412109375;1841.9427490234375;2612.9697265625;14557.73046875;71123.546875
131;2759.01708984375;46078.8359375;0.0;2572.414306640625;1357.3795166015625;1727.8680419921875;2390.808837890625;14899.80078125;71785.9375
132;2532.887939453125;46310.4921875;0.0;2668.243896484375;1367.7869873046875;1774.363525390625;2107.341064453125;14858.8603515625;71619.671875
133;2689.849853515625;46411.26171875;0.0;2713.3486328125;1464.3101806640625;1770.8365478515625;2055.27880859375;15195.28125;72299.8671875
134;2535.47021484375;45867.91796875;0.0;2724.399658203125;1327.119140625;1732.992431640625;2122.671142578125;15404.3271484375;71714.6328125
135;2281.2763671875;45081.0234375;0.0;2598.592041015625;1380.521728515625;1915.8861083984375;1950.620849609375;14803.3427734375;70010.9296875
136;2336.487060546875;45469.98828125;0.0;2501.41650390625;1215.568115234375;1863.056396484375;2049.275390625;14272.982421875;69708.4765625
137;2694.014404296875;45924.3984375;0.0;2603.427490234375;1249.2877197265625;1745.49951171875;2315.117431640625;14632.2275390625;71163.7734375
138;2600.513671875;45727.40625;0.9413317441940308;2438.18359375;1505.90576171875;1894.5406494140625;2082.37744140625;14840.677734375;71090.296875
139;2381.01416015625;45017.5546875;0.2353329360485077;2423.71826171875;1412.0572509765625;1761.9359130859375;2323.759033203125;14730.2802734375;70050.125
140;2484.2412109375;45482.7109375;0.0;2453.20263671875;1396.1502685546875;1884.2501220703125;2191.242431640625;14504.0595703125;70395.625
141;2519.78515625;45056.05078125;0.0;2592.0068359375;1284.0753173828125;1735.200439453125;2089.654541015625;14451.1171875;69727.7734375
142;2509.424560546875;45187.26953125;0.0;2377.55712890625;1473.6690673828125;1920.360107421875;2309.88623046875;14365.029296875;70143.0625
143;2588.318115234375;45857.8515625;0.0;2358.82421875;1340.0068359375;1762.68701171875;2279.956298828125;13924.4736328125;70111.8359375
144;2380.713134765625;46238.91015625;0.0;2417.587890625;1202.4854736328125;1726.4344482421875;2255.953857421875;14011.9326171875;70233.78125
145;2490.79345703125;45357.3046875;0.0;2356.99755859375;1110.00244140625;1737.8751220703125;2083.574951171875;14507.583984375;69643.7421875
146;2194.136962890625;45214.640625;0.0;2364.132568359375;1134.5662841796875;1742.6600341796875;2034.94677734375;14659.0322265625;69343.7578125
147;2508.732666015625;44972.16796875;0.2353329360485077;2676.7880859375;1217.6063232421875;1848.81884765625;2183.198974609375;14503.9833984375;69911.0625
148;2368.54736328125;45347.66796875;0.2353329360485077;2494.98193359375;1256.8204345703125;1750.2462158203125;2051.698974609375;13760.6171875;69030.5390625
149;2508.070068359375;45219.73046875;0.0;2581.6806640625;1315.1368408203125;1847.405029296875;2113.294677734375;14888.923828125;70473.9453125
150;2574.949951171875;44659.17578125;0.0;2656.088134765625;1432.4442138671875;1964.5687255859375;2262.4873046875;14562.0302734375;70111.5
151;2603.862548828125;44428.22265625;0.0;2518.616943359375;1380.8328857421875;1842.33154296875;2193.3935546875;14736.787109375;69703.78125
152;2613.591796875;44780.6640625;0.0;2446.92724609375;1169.2415771484375;2096.294921875;2259.7392578125;14709.0146484375;70075.2421875
153;2423.28515625;44624.89453125;0.0;2716.893310546875;1300.6695556640625;2023.87744140625;2191.867431640625;14800.0185546875;70081.1640625
154;2574.16943359375;44510.0859375;0.0;2604.272216796875;1239.777587890625;1863.6396484375;2282.26904296875;15043.2958984375;70117.3046875
155;2674.06884765625;44093.1796875;0.0;2542.434326171875;1262.2060546875;1916.100341796875;2289.91845703125;14808.9150390625;69586.6171875
156;2604.089599609375;44944.9296875;0.0;2403.959716796875;1346.9130859375;2027.5731201171875;2236.3720703125;14966.3203125;70529.875
157;2616.563232421875;44491.42578125;0.0;2341.001708984375;1195.06298828125;1894.92724609375;2211.91796875;14264.732421875;69015.0390625
158;2737.578369140625;45525.3671875;0.0;2463.7275390625;1261.013427734375;1946.55908203125;1929.2772216796875;14260.70703125;70123.9375
159;2435.1748046875;45570.2265625;0.0;2385.414794921875;1267.6112060546875;1843.02294921875;2141.62060546875;14720.1416015625;70363.015625
160;2545.435546875;45225.984375;0.0;2688.89208984375;1215.3319091796875;1916.7138671875;2259.479736328125;14685.6884765625;70537.28125
161;2390.866943359375;45708.921875;0.0;2496.79931640625;1285.666259765625;1833.956298828125;2004.549072265625;15010.791015625;70731.3203125
162;2618.500732421875;45195.18359375;0.0;2719.683837890625;1310.002685546875;1898.04345703125;2477.850341796875;14571.67578125;70790.8359375
163;2125.305908203125;44993.84375;0.9413317441940308;2577.31005859375;1161.9906005859375;1771.01708984375;2389.1806640625;14617.52734375;69636.8359375
164;2251.944580078125;45284.43359375;0.0;2680.83251953125;1282.52587890625;1903.924560546875;2425.850830078125;14956.15234375;70785.546875
165;2669.24658203125;45392.40625;0.0;2623.369873046875;1310.0941162109375;1870.64404296875;2233.349609375;15443.8642578125;71542.7421875
166;2450.9072265625;45374.89453125;0.4706658720970154;2405.740234375;1214.5037841796875;1801.9615478515625;2262.59375;16000.869140625;71511.71875
167;2388.29638671875;45420.82421875;0.0;2482.920166015625;1200.5721435546875;1891.227783203125;2398.207275390625;15401.970703125;71183.8125
168;2524.830322265625;45347.921875;0.0;2553.63916015625;1264.6339111328125;1799.534912109375;2145.576904296875;15799.3779296875;71435.125
169;2496.46630859375;45972.6640625;0.0;2506.341064453125;1228.722412109375;1731.0076904296875;2228.32763671875;15200.0986328125;71363.546875
170;2360.256591796875;45260.859375;0.0;2645.7451171875;1203.11328125;1741.5096435546875;2290.163330078125;15726.9482421875;71228.375
171;2562.8056640625;44852.234375;0.0;2415.2392578125;1293.93408203125;1851.576904296875;2281.550048828125;15624.9560546875;70882.3359375
172;2203.275146484375;44480.17578125;0.0;2417.072998046875;1243.938720703125;1685.588134765625;2412.338623046875;14399.603515625;68841.75
173;2288.109619140625;45147.5078125;0.2353329360485077;2475.241943359375;1134.5228271484375;1802.8509521484375;2490.46484375;14604.93359375;69943.46875
174;2264.3818359375;44883.6875;0.0;2441.201171875;1238.5172119140625;1923.897216796875;2440.1259765625;14594.50390625;69786.0703125
175;2488.5625;45795.14453125;0.0;2560.970458984375;1322.9664306640625;2053.579345703125;2384.688232421875;14405.880859375;71011.5625
176;2217.48193359375;45671.70703125;0.0;2487.517578125;1128.3597412109375;2043.0335693359375;2107.122314453125;15527.560546875;71182.59375
177;2616.495361328125;45880.7421875;0.0;2626.443603515625;1188.10205078125;2041.113037109375;2490.510009765625;15259.3017578125;72102.4453125
178;2666.711181640625;46696.3046875;0.0;2411.476806640625;1259.128173828125;1918.4237060546875;2405.1298828125;15578.3779296875;72935.4453125
179;2425.92431640625;46762.78515625;0.0;2630.273681640625;1225.0784912109375;1799.3350830078125;2414.734619140625;15170.943359375;72428.8984375
180;2375.409912109375;46556.36328125;0.0;2336.17041015625;1177.9102783203125;1814.47119140625;2210.15625;15110.7783203125;71581.09375
181;2833.528076171875;46862.49609375;0.0;2456.014892578125;1147.1153564453125;1844.7969970703125;2180.345947265625;15522.99609375;72847.1640625
182;2594.583251953125;46405.20703125;0.0;2436.65869140625;1250.2987060546875;1776.516357421875;1977.4510498046875;14961.2626953125;71401.7734375
183;2474.096435546875;45852.20703125;0.4706658720970154;2342.600341796875;1138.4586181640625;1795.42919921875;2085.091064453125;14602.8994140625;70291.0390625
184;2718.642578125;46348.609375;0.0;2339.897705078125;1253.9835205078125;1907.0992431640625;2125.556640625;14630.4326171875;71324.1328125
185;2831.63427734375;47098.21484375;0.0;2569.77099609375;1260.07763671875;1759.3558349609375;2229.47607421875;14771.8212890625;72520.0390625
186;2591.809814453125;46125.08984375;0.0;2491.368408203125;1064.3514404296875;1828.4759521484375;2144.76416015625;15304.2060546875;71550.0390625
187;2515.6064453125;45934.9375;0.0;2578.503662109375;1148.7127685546875;1637.699462890625;2361.489013671875;15449.6513671875;71626.2265625
188;2384.92578125;46320.87109375;0.0;2339.685791015625;1020.3673706054688;1974.1951904296875;2185.416015625;15443.8623046875;71669.1875
189;2699.21533203125;46304.87890625;0.0;2553.407958984375;989.8493041992188;1739.1484375;2174.82958984375;15771.30859375;72232.4296875
190;2489.377197265625;45740.015625;0.0;2514.665283203125;1203.2218017578125;1812.4794921875;2467.042236328125;14334.3291015625;70561.0078125
191;2493.334716796875;46324.83203125;0.0;2399.6640625;1073.13232421875;1770.4112548828125;2450.7119140625;14805.796875;71317.578125
192;2266.568115234375;46015.1015625;0.0;2333.6826171875;1245.6771240234375;1736.31591796875;2447.458251953125;15197.0126953125;71241.5625
193;2358.97119140625;46693.99609375;0.0;2605.00146484375;1199.2275390625;1870.5316162109375;2441.559814453125;15742.1650390625;72911.265625
194;2531.057373046875;45793.5703125;1.1766647100448608;2578.090087890625;1129.1986083984375;1824.7747802734375;2224.985595703125;15263.1220703125;71345.9140625
195;2444.477783203125;45803.03515625;0.0;2411.761962890625;1086.5841064453125;1984.217041015625;2222.142822265625;15046.484375;70998.5
196;2181.642578125;46257.48046875;0.0;2381.0537109375;1160.1773681640625;1734.669921875;2343.296142578125;14614.8818359375;70672.90625
197;2336.380615234375;46426.06640625;0.0;2548.160400390625;1060.971923828125;1873.66162109375;2307.740234375;14706.671875;71259.5546875
198;2294.381591796875;46039.69921875;0.0;2629.177978515625;1085.097900390625;1956.46142578125;2383.040771484375;15683.8349609375;72071.5
199;2506.916015625;45818.75;0.0;2635.72265625;1168.42578125;1967.1380615234375;2368.3896484375;14889.7119140625;71354.7109375
