STEP;C11;NHQ;NP;OCB;OCC;OCH;TOTAL
0;1728.698486328125;36555.828125;0.0;1559.491455078125;18727.150390625;8146.52587890625;66717.2265625
1;1633.6558837890625;36763.37109375;0.0;1489.236083984375;18941.75;7944.77734375;66772.296875
2;1486.531982421875;36262.85546875;1.1766647100448608;1521.40185546875;18122.849609375;8006.35400390625;65400.6015625
3;1649.02490234375;36614.75390625;0.0;1616.1026611328125;18423.19140625;8013.6103515625;66316.1328125
4;1638.156982421875;35182.8359375;0.0;1474.8040771484375;18938.79296875;7697.7197265625;64931.859375
5;1636.375732421875;34346.98046875;0.2353329360485077;1443.146240234375;19003.4375;7634.52197265625;64064.0703125
6;1757.70703125;35006.30859375;0.0;1324.1279296875;18478.962890625;7935.13134765625;64501.6484375
7;1667.2025146484375;34605.20703125;0.0;1411.9412841796875;18578.794921875;7816.22802734375;64078.89453125
8;1727.0888671875;35428.41796875;0.0;1398.8902587890625;17504.16015625;8019.41748046875;64077.46875
9;1600.8978271484375;35614.3671875;1.1766645908355713;1233.737548828125;18102.8515625;7704.2451171875;64256.69921875
10;1605.0384521484375;33907.17578125;0.2353329360485077;1364.1126708984375;18374.017578125;8181.958984375;63432.140625
11;1527.520751953125;34910.96484375;0.0;1337.011962890625;18787.2109375;8295.0771484375;64857.43359375
12;1474.4432373046875;34166.80078125;0.4706658720970154;1421.5533447265625;18797.017578125;7544.83349609375;63404.7734375
13;1543.674560546875;34160.859375;0.0;1442.2193603515625;18568.6875;8343.21484375;64058.41015625
14;1481.6888427734375;34052.9609375;0.0;1451.2806396484375;18999.359375;8021.77587890625;64006.56640625
15;1355.2020263671875;34563.4375;0.0;1417.283935546875;19077.48046875;7987.66552734375;64400.83984375
16;1427.0050048828125;33831.515625;0.0;1386.8795166015625;18671.1796875;8042.35986328125;63358.546875
17;1436.783447265625;34032.203125;0.0;1249.0343017578125;19490.52734375;7672.544921875;63880.5703125
18;1414.3443603515625;32624.017578125;0.0;1323.026123046875;19134.404296875;7817.87548828125;62313.41015625
19;1558.3878173828125;32280.5546875;0.0;1431.702392578125;19050.84765625;7747.02099609375;62068.17578125
20;1519.2767333984375;32110.6171875;0.0;1279.8199462890625;18920.35546875;7440.03759765625;61269.7734375
21;1420.6669921875;32613.291015625;0.4706658720970154;1273.3353271484375;18700.794921875;7753.16748046875;61761.4296875
22;1402.373291015625;32546.625;0.0;1359.546630859375;18464.564453125;7766.75927734375;61539.46484375
23;1114.6026611328125;32242.291015625;0.0;1179.169921875;18302.224609375;7931.212890625;60769.26171875
24;1192.541015625;32468.208984375;0.0;1204.24560546875;18801.587890625;8040.04931640625;61706.2109375
25;1369.39697265625;32632.38671875;0.4706658720970154;1296.6331787109375;18203.759765625;8147.47265625;61649.3828125
26;1374.14794921875;31739.17578125;0.0;1391.5853271484375;18636.50390625;8283.48828125;61424.2421875
27;1340.3397216796875;32018.744140625;0.0;1406.9638671875;18847.5546875;8285.9716796875;61899.19921875
28;1338.6605224609375;31877.4921875;0.0;1433.40380859375;18960.404296875;8370.9521484375;61980.40625
29;1321.516357421875;32014.5234375;0.7059987783432007;1239.423828125;18213.041015625;7833.8095703125;60622.46875
30;1188.9998779296875;31787.837890625;0.0;1294.901611328125;18466.4609375;7844.46923828125;60582.140625
31;1208.5228271484375;32296.44140625;0.7059987783432007;1189.050048828125;18578.279296875;7884.5283203125;61157.27734375
32;1128.9561767578125;31693.47265625;0.0;1275.264892578125;18242.943359375;8114.333984375;60454.57421875
33;1052.5389404296875;31596.5234375;1.1766647100448608;1114.857666015625;18447.291015625;8207.50390625;60419.63671875
34;1040.216796875;32023.974609375;0.7059987783432007;1283.17919921875;18924.787109375;7938.61181640625;61211.08203125
35;1143.9300537109375;31549.40234375;0.0;1231.8974609375;18275.236328125;8470.009765625;60670.09375
36;1216.72314453125;31298.369140625;0.9413317441940308;1201.0286865234375;18518.115234375;8115.20849609375;60350.03515625
37;1122.9522705078125;31347.69921875;0.0;1372.7930908203125;18274.38671875;7962.7509765625;60080.2109375
38;1083.4359130859375;31411.513671875;0.0;1244.2254638671875;17907.212890625;7632.1552734375;59278.1640625
39;979.8709106445313;31250.26953125;0.4706658720970154;1328.4578857421875;17066.634765625;7857.00927734375;58482.39453125
40;926.1294555664063;31418.732421875;0.4706658720970154;1252.9901123046875;17810.591796875;8138.6240234375;59547.03125
41;915.3512573242188;30538.671875;1.6473305225372314;1164.6627197265625;18098.09765625;8205.7578125;58923.7109375
42;1112.1571044921875;30503.1015625;0.2353329360485077;1167.262451171875;18738.61328125;7901.1650390625;59422.17578125
43;1093.5396728515625;30643.787109375;0.4706658720970154;1255.1578369140625;18368.24609375;8169.75244140625;59530.42578125
44;1057.8802490234375;30676.337890625;0.0;1161.9117431640625;18160.9453125;8622.501953125;59679.25390625
45;1070.2698974609375;29655.841796875;0.0;1144.6116943359375;19173.04296875;8435.8232421875;59479.1171875
46;1018.89697265625;30510.40625;0.0;1198.2333984375;18792.458984375;8562.2392578125;60081.7421875
47;968.9791870117188;30374.361328125;0.4706658720970154;1105.8316650390625;17654.01171875;8412.1181640625;58515.5078125
48;1101.935791015625;30009.98046875;0.2353329360485077;1085.3809814453125;18586.75;8183.81689453125;58967.76953125
49;908.6603393554688;30659.0859375;0.0;1087.2330322265625;18215.435546875;8051.17919921875;58921.1640625
50;883.2689819335938;29919.900390625;0.2353329360485077;1000.7001342773438;18753.353515625;7874.3447265625;58431.30078125
51;839.94091796875;30210.44921875;0.0;1001.5272827148438;18578.353515625;7998.74560546875;58628.65625
52;880.8402709960938;30121.158203125;0.4706658720970154;920.654296875;18546.4765625;8065.0634765625;58534.30859375
53;1105.470458984375;30413.724609375;1.4119975566864014;1222.078369140625;19053.1640625;8030.91943359375;59826.19921875
54;953.6061401367188;30507.61328125;0.4706658720970154;1082.8604736328125;18619.158203125;8007.8828125;59171.1796875
55;1023.4140625;30030.7421875;0.0;1159.555419921875;19003.626953125;8089.08447265625;59306.12890625
56;938.7994384765625;29668.3046875;0.0;1128.0509033203125;18813.892578125;8117.75146484375;58666.51171875
57;896.7498168945313;29727.580078125;0.4706658720970154;1025.55615234375;18694.205078125;7620.6669921875;57964.91015625
58;852.2611694335938;29087.775390625;0.2353329360485077;1057.02392578125;19148.849609375;7428.25439453125;57574.046875
59;869.3580322265625;29067.02734375;0.0;927.248046875;19066.875;7750.107421875;57680.23828125
60;835.8731079101563;29632.103515625;1.1766645908355713;967.205078125;18010.8515625;8098.06298828125;57544.91015625
61;797.034912109375;29405.322265625;0.0;939.3450317382813;18832.93359375;8082.52294921875;58056.97265625
62;780.4369506835938;30135.515625;0.4706658720970154;1046.2005615234375;18349.6875;7716.0546875;58027.84375
63;834.9081420898438;29561.38671875;0.0;917.7962036132813;17528.68359375;7944.181640625;56786.55859375
64;823.0357666015625;29906.06640625;0.4706658720970154;874.8229370117188;17758.587890625;8170.40869140625;57532.921875
65;798.6065673828125;29280.46875;0.0;834.7601928710938;18157.052734375;7771.0693359375;56841.4453125
66;842.8931274414063;29006.359375;0.7059987783432007;753.0982666015625;18121.052734375;7996.1669921875;56719.84375
67;752.0059204101563;29029.9921875;0.2353329360485077;760.48486328125;18058.49609375;7980.591796875;56581.546875
68;978.2635498046875;29050.853515625;0.0;782.3234252929688;17843.349609375;8359.7880859375;57014.22265625
69;893.5685424804688;28970.947265625;0.0;748.1991577148438;18016.646484375;8172.5107421875;56801.4453125
70;830.4785766601563;28454.140625;0.0;717.5552368164063;17572.693359375;8201.607421875;55776.15625
71;858.8170166015625;28550.248046875;0.0;798.0972290039063;18408.7734375;8142.8388671875;56758.40625
72;896.3677368164063;28947.53125;0.7059987783432007;755.78955078125;18528.068359375;7871.75341796875;56999.92578125
73;812.297607421875;29037.5390625;0.0;887.8634643554688;18453.37890625;7953.1279296875;57143.765625
74;902.3544311523438;29120.736328125;0.0;829.6202392578125;18955.220703125;7772.24609375;57579.703125
75;874.1557006835938;29749.853515625;0.0;918.42529296875;18326.5625;7859.8076171875;57728.48828125
76;831.6765747070313;29464.86328125;0.2353329360485077;944.9259643554688;18493.560546875;7846.06591796875;57580.91796875
77;1025.343017578125;29952.0;1.1766647100448608;990.8209228515625;17661.751953125;7959.1689453125;57589.8359375
78;805.4452514648438;29034.681640625;0.0;894.9469604492188;17460.259765625;7935.8701171875;56130.765625
79;807.039794921875;29110.794921875;0.2353329360485077;810.0997924804688;17544.3515625;7841.5751953125;56113.80078125
80;931.1607666015625;29110.822265625;0.2353329360485077;948.7696533203125;18535.50390625;7661.404296875;57187.40234375
81;938.022705078125;29661.07421875;0.0;1018.5165405273438;18575.287109375;7817.5673828125;58010.09375
82;981.4085083007813;29710.79296875;0.0;1097.7677001953125;18192.568359375;7777.60791015625;57759.671875
83;749.43212890625;29076.35546875;0.0;1069.9207763671875;18345.87109375;7870.6923828125;57111.7578125
84;755.3281860351563;29494.998046875;0.4706658720970154;933.7062377929688;17903.75390625;8061.8603515625;57149.82421875
85;801.5587768554688;29267.5;0.4706658720970154;883.5677490234375;17598.92578125;7850.21728515625;56401.94140625
86;900.0244140625;29279.818359375;0.9413317441940308;837.6775512695313;17670.583984375;7875.82080078125;56564.40234375
87;991.4119262695313;29628.373046875;0.0;872.016845703125;17946.52734375;7598.81103515625;57036.79296875
88;851.0134887695313;28929.8515625;0.0;734.3986206054688;17596.474609375;7515.2099609375;55626.63671875
89;867.9510498046875;29019.09375;0.9413317441940308;717.9727172851563;18481.048828125;7354.77587890625;56441.34765625
90;822.8489379882813;28694.3203125;0.0;785.014404296875;18260.9765625;7790.32177734375;56353.17578125
91;893.4349365234375;29017.36328125;0.9413317441940308;831.7575073242188;18604.498046875;7642.97265625;56990.515625
92;878.035400390625;28660.69140625;0.4706658720970154;798.5624389648438;18528.4296875;7288.8642578125;56154.7734375
93;790.5960693359375;29479.724609375;0.4706658720970154;732.191650390625;18394.087890625;7480.08740234375;56876.91015625
94;796.5264892578125;29709.595703125;0.0;783.8551025390625;17693.978515625;7440.70703125;56424.40625
95;988.5193481445313;29112.3046875;0.0;951.1974487304688;17821.875;7217.3154296875;56091.015625
96;915.0382690429688;29380.568359375;0.0;924.1641845703125;17543.3671875;7788.3076171875;56551.10546875
97;799.7064819335938;29404.806640625;0.0;907.4421997070313;17734.423828125;7555.56591796875;56401.6015625
98;744.2450561523438;29839.892578125;0.9413317441940308;896.0928955078125;17749.916015625;7814.84326171875;57045.515625
99;764.4124145507813;29661.466796875;0.0;1045.306884765625;17838.244140625;7564.26611328125;56873.33984375
100;662.8466796875;29648.724609375;0.0;905.4201049804688;17745.607421875;7756.55517578125;56718.8515625
101;736.8011474609375;29392.869140625;0.0;886.4503173828125;17782.919921875;7803.45849609375;56602.23046875
102;702.52490234375;29425.775390625;0.4706658720970154;871.4456787109375;18099.34375;7446.67431640625;56545.92578125
103;780.4242553710938;29206.81640625;0.4706658720970154;826.4628295898438;17238.484375;7624.6806640625;55677.1015625
104;850.7959594726563;29316.7578125;0.2353329360485077;944.5038452148438;17510.171875;8061.43359375;56683.45703125
105;717.3757934570313;29350.9296875;0.0;934.545654296875;18226.8125;7949.5205078125;57178.71875
106;664.1921997070313;28332.212890625;0.7059987783432007;865.2157592773438;17560.09375;7803.232421875;55225.4140625
107;803.7171630859375;28911.986328125;0.2353329360485077;955.7840576171875;18315.560546875;7742.29931640625;56729.24609375
108;755.5550537109375;28019.162109375;0.0;909.5497436523438;18389.09765625;7532.1259765625;55604.98828125
109;775.2498779296875;29064.376953125;0.0;879.8462524414063;18124.017578125;7701.3623046875;56544.5
110;803.7897338867188;28850.40234375;0.0;932.4161987304688;18032.630859375;7408.6630859375;56027.35546875
111;858.8204956054688;28869.6953125;0.0;959.1489868164063;18389.796875;7393.4755859375;56470.44140625
112;752.6539916992188;29359.02734375;0.0;891.2494506835938;18212.427734375;7462.47705078125;56677.44921875
113;689.3639526367188;28827.23046875;0.2353329360485077;968.7548828125;17740.818359375;8042.58837890625;56268.81640625
114;739.8993530273438;29160.646484375;1.1766645908355713;887.458251953125;17684.68359375;7842.5927734375;56316.07421875
115;822.0010375976563;29294.48828125;0.4706658720970154;943.3162231445313;17650.724609375;7804.703125;56515.37109375
116;1111.1544189453125;28953.787109375;0.4706658720970154;1018.6514892578125;18337.73046875;7633.84912109375;57055.109375
117;811.3887329101563;28645.39453125;0.2353329360485077;938.7383422851563;17949.93359375;7744.20263671875;56089.5703125
118;968.6844482421875;29330.541015625;0.7059987783432007;995.8348388671875;17762.783203125;7967.462890625;57025.57421875
119;885.6489868164063;28421.330078125;0.9413317441940308;898.4332885742188;17912.99609375;8061.1826171875;56180.2421875
120;791.4501342773438;28292.150390625;0.0;854.295166015625;18073.8515625;8037.7724609375;56049.1328125
121;951.8804931640625;28553.837890625;0.2353329360485077;868.3987426757813;18351.33984375;7297.84619140625;56023.2265625
122;989.7056884765625;28089.67578125;0.2353329360485077;988.5823974609375;18185.8515625;7598.01904296875;55851.7734375
123;883.7091674804688;27894.203125;0.2353329360485077;887.3309326171875;18870.048828125;7558.4462890625;56093.58984375
124;853.5819702148438;27832.078125;0.0;1014.44482421875;18929.8046875;8056.6953125;56686.171875
125;932.248291015625;27749.96484375;0.0;870.9512329101563;18427.552734375;8089.59130859375;56069.97265625
126;862.7590942382813;28076.77734375;0.0;885.6181640625;18568.814453125;8033.19140625;56426.6796875
127;899.931640625;27712.65234375;0.4706658720970154;964.4864501953125;18832.033203125;8169.69970703125;56579.04296875
128;1029.639892578125;27749.091796875;0.0;808.8174438476563;19139.546875;8019.1962890625;56746.19140625
129;1008.9454956054688;28103.20703125;0.2353329360485077;1167.105224609375;18229.109375;7883.70166015625;56392.1484375
130;900.1704711914063;28397.3671875;0.0;933.8783569335938;18480.392578125;7473.3564453125;56185.01953125
131;812.0642700195313;27762.013671875;0.0;958.9403076171875;18552.0625;7564.78857421875;55649.51953125
132;736.9436645507813;28171.30078125;0.0;856.2203369140625;18325.515625;7722.50537109375;55812.20703125
133;733.976318359375;28026.5546875;0.2353329360485077;1014.0370483398438;18105.119140625;7557.52783203125;55437.1640625
134;905.3073120117188;28709.4140625;1.1766645908355713;965.938720703125;18100.013671875;7606.41552734375;56287.796875
135;785.9461059570313;28432.9375;0.0;875.3648071289063;18545.552734375;7822.7001953125;56462.34765625
136;874.936279296875;28140.58203125;0.0;997.264404296875;18262.58984375;8166.67724609375;56441.64453125
137;1042.1839599609375;28236.53515625;0.0;1040.7684326171875;19428.66796875;8027.0341796875;57774.79296875
138;978.2890625;28171.76953125;0.0;1043.2841796875;19501.189453125;7853.7802734375;57548.0
139;980.3318481445313;28314.119140625;0.0;1097.6033935546875;19632.990234375;7586.48828125;57611.1171875
140;880.3098754882813;28212.119140625;0.0;1128.78125;19011.927734375;7794.97314453125;57027.6953125
141;809.1351928710938;28801.35546875;0.0;1070.67724609375;18722.01953125;7682.26513671875;57085.171875
142;799.8347778320313;28690.509765625;0.0;872.527099609375;18658.46484375;7518.404296875;56539.36328125
143;905.7783813476563;28558.916015625;0.0;959.14794921875;18997.6953125;7661.96923828125;57083.15234375
144;709.20556640625;29003.2734375;0.0;828.2532958984375;19304.73046875;7736.08447265625;57581.16015625
145;843.9978637695313;28425.880859375;0.0;834.6718139648438;18601.0546875;8172.21142578125;56877.4453125
146;734.8389282226563;29101.560546875;0.0;816.7818603515625;18978.076171875;7679.0947265625;57309.99609375
147;715.6550903320313;29263.318359375;0.0;834.0621337890625;18352.201171875;8026.08984375;57191.13671875
148;845.525634765625;29009.06640625;0.0;886.0909423828125;18384.3046875;8149.20849609375;57273.859375
149;787.688232421875;28637.328125;0.0;935.2469482421875;18673.728515625;8034.64404296875;57068.40234375
150;887.31201171875;29184.15625;0.0;1037.110107421875;18746.533203125;7543.423828125;57398.265625
151;949.5311889648438;29386.060546875;0.0;903.8751831054688;18990.3515625;8065.6318359375;58295.21484375
152;734.4266357421875;29487.373046875;0.0;993.9595336914063;18996.59765625;8231.1220703125;58443.15625
153;780.544189453125;28297.1796875;0.0;981.071044921875;19169.162109375;7956.994140625;57184.58984375
154;814.4555053710938;28412.0390625;0.0;957.716796875;18970.474609375;8071.6923828125;57226.01953125
155;966.2402954101563;28594.337890625;0.0;839.8988037109375;19219.345703125;7915.529296875;57535.0625
156;905.7162475585938;28864.97265625;0.0;902.3426513671875;19084.564453125;8351.60546875;58108.94921875
157;888.86474609375;28511.939453125;0.0;946.2730712890625;19239.904296875;7968.12890625;57554.7265625
158;947.7874755859375;27740.357421875;0.0;1023.6712646484375;19871.640625;7505.01025390625;57088.0078125
159;873.7683715820313;27989.916015625;0.0;908.8827514648438;19423.06640625;8192.1953125;57387.55078125
160;846.7669067382813;27957.8671875;0.0;840.4119262695313;19427.134765625;8141.1328125;57212.8671875
161;905.5214233398438;27768.927734375;0.0;927.8867797851563;19240.080078125;8031.77392578125;56873.87109375
162;758.3059692382813;28257.966796875;0.0;880.568359375;18690.423828125;8255.8974609375;56842.73828125
163;916.08447265625;27690.978515625;0.0;847.5179443359375;18759.240234375;8404.3134765625;56617.8125
164;777.7222900390625;28180.31640625;0.0;805.7911376953125;18290.94140625;8429.3642578125;56483.9296875
165;851.788818359375;28328.310546875;0.0;857.222412109375;18420.001953125;8484.5732421875;56941.4609375
166;783.8409423828125;28632.83984375;0.0;800.7844848632813;18944.857421875;8230.2431640625;57392.12109375
167;718.9113159179688;27981.791015625;0.0;727.9949951171875;18853.517578125;8275.8349609375;56557.640625
168;818.2545776367188;28352.03515625;0.0;1012.3353881835938;19113.177734375;8235.6328125;57531.10546875
169;703.3137817382813;28398.859375;0.0;943.333740234375;18983.732421875;8014.9912109375;57043.92578125
170;704.603759765625;27305.248046875;0.0;920.410400390625;18509.6328125;7894.49169921875;55334.02734375
171;782.0441284179688;28389.43359375;0.0;909.0997314453125;18890.01171875;8067.08642578125;57037.4609375
172;669.9727783203125;27974.916015625;0.7059987783432007;839.3187255859375;19319.6640625;8151.75537109375;56956.046875
173;751.8360595703125;27806.79296875;0.2353329360485077;879.3237915039063;19102.453125;7813.56201171875;56353.8203125
174;792.1559448242188;28118.224609375;0.0;818.6550903320313;19076.654296875;7856.13330078125;56661.4375
175;761.8152465820313;28123.013671875;0.0;800.13232421875;19696.22265625;7940.626953125;57321.546875
176;829.6211547851563;28208.435546875;0.0;841.0061645507813;19956.18359375;7911.6806640625;57746.65234375
177;720.854736328125;28102.892578125;0.0;782.01953125;19120.86328125;7994.80078125;56721.00390625
178;657.34033203125;27243.8671875;0.0;902.1210327148438;19256.876953125;8324.5947265625;56384.4609375
179;737.7422485351563;27901.5234375;0.0;835.5458374023438;19045.453125;8008.640625;56528.578125
180;782.924560546875;27808.474609375;0.0;858.9639892578125;18950.326171875;7962.38232421875;56362.68359375
181;730.20849609375;27017.310546875;0.0;905.2653198242188;18926.7421875;8627.5673828125;56206.86328125
182;827.9532470703125;27438.55859375;0.0;876.3711547851563;18821.103515625;8032.9482421875;55996.5078125
183;803.5679931640625;27781.216796875;0.0;827.8807373046875;18508.498046875;7917.78125;55838.61328125
184;875.6854248046875;27461.447265625;0.0;969.3538208007813;18817.6640625;8128.56787109375;56252.3125
185;892.1596069335938;26898.181640625;0.0;902.95166015625;19626.076171875;7923.92724609375;56243.203125
186;969.67822265625;27727.263671875;0.0;939.2888793945313;19855.025390625;8023.39453125;57514.2890625
187;870.5848388671875;26454.244140625;0.0;731.5070190429688;19552.9765625;8508.7236328125;56117.765625
188;922.5615844726563;26385.8359375;0.0;725.5567016601563;19785.16796875;8490.7265625;56309.48828125
189;987.2753295898438;26847.07421875;0.0;848.9127807617188;19524.935546875;8519.310546875;56727.2109375
190;941.6410522460938;27023.369140625;0.0;785.0078125;19318.51171875;8619.4365234375;56687.53515625
191;793.5860595703125;26888.224609375;0.0;713.6837768554688;19481.08984375;8263.146484375;56139.31640625
192;907.1294555664063;26503.55859375;0.0;793.74560546875;19795.423828125;8458.7421875;56458.32421875
193;874.8084716796875;26917.1875;0.0;899.4236450195313;20013.048828125;8523.6591796875;57227.97265625
194;829.978515625;27048.6015625;0.0;873.0618896484375;20385.9609375;8333.5517578125;57470.76953125
195;841.9817504882813;26781.177734375;0.0;815.2266235351563;20499.638671875;8300.7119140625;57238.43359375
196;798.2139892578125;26951.09375;0.0;851.1236572265625;19354.70703125;8426.6123046875;56381.4375
197;850.1614379882813;26573.44140625;0.0;929.0310668945313;19718.625;8549.474609375;56620.625
198;787.1945190429688;26385.224609375;0.0;809.9244384765625;19356.3203125;8468.345703125;55806.73046875
199;608.8624877929688;26560.939453125;0.0;736.6022338867188;19679.6484375;8647.220703125;56233.00390625
